loboro,loblock,lolot,lobblscc,hiboro,hiblock,hilot,hibblscc,boro,block,lot,bblscc,billboro,billblock,billlot,billbblscc,condoflag,condonum,coopnum,numbf,numaddr,vacant,interior
1,107,1001,0,1,107,1001,0,1,107,1001,0,1,107,7501,3,C,826,    ,1,1, , 
1,441,1001,3,1,441,1001,3,1,441,1001,3,1,441,7501,6,C,292,    ,1,1, , 
1,764,1001,8,1,764,1001,8,1,764,1001,8,1,764,7501,1,C,656,    ,1,1, , 
1,7,1001,2,1,7,1002,0,1,7,1001,2,1,7,7501,5,C,735,    ,3,3, , 
1,8,1001,0,1,8,1002,8,1,8,1001,0,1,8,7501,3,C,1822,    ,5,5, , 
1,11,1001,4,1,11,1002,2,1,11,1001,4,1,11,7501,7,C,2099,    ,1,1, , 
1,29,1001,6,1,29,1002,4,1,29,1001,6,1,29,7501,9,C,1002,    ,2,4, , 
1,40,1001,3,1,40,1002,1,1,40,1001,3,1,40,7501,6,C,2241,    ,3,3, , 
1,47,1001,8,1,47,1002,6,1,47,1001,8,1,47,7501,1,C,871,    ,4,4, , 
1,52,1001,8,1,52,1002,6,1,52,1001,8,1,52,7501,1,C,947,    ,2,2, , 
1,65,1001,0,1,65,1002,8,1,65,1001,0,1,65,7501,3,C,21,6,2,2, , 
1,75,1001,9,1,75,1002,7,1,75,1001,9,1,75,7501,2,C,46,    ,1,1, , 
1,78,1001,3,1,78,1002,1,1,78,1001,3,1,78,7501,6,C,967,    ,1,1, , 
1,107,1002,8,1,107,1002,8,1,107,1002,8,1,107,7501,3,C,826,    ,1,1, , 
1,123,1001,7,1,123,1002,5,1,123,1001,7,1,123,7501,0,C,1514,    ,3,3, , 
1,135,1001,1,1,135,1002,9,1,135,1001,1,1,135,7501,4,C,25,    ,2,3, , 
1,143,1001,5,1,143,1002,3,1,143,1001,5,1,143,7501,8,C,328,    ,2,2, , 
1,147,1001,6,1,147,1002,4,1,147,1001,6,1,147,7501,9,C,225,    ,2,2, , 
1,178,1001,1,1,178,1002,9,1,178,1001,1,1,178,7501,4,C,882,    ,1,1, , 
1,210,1001,2,1,210,1002,0,1,210,1001,2,1,210,7501, ,C,2351,    ,2,2, , 
1,225,1001,0,1,225,1002,8,1,225,1001,0,1,225,7501,3,C,1321,    ,3,3, , 
1,229,1001,2,1,229,1002,0,1,229,1001,2,1,229,7501,5,C,851,    ,1,1, , 
1,285,1001,4,1,285,1002,2,1,285,1001,4,1,285,7501,7,C,2332,    ,2,2, , 
1,399,1001,3,1,399,1002,1,1,399,1001,3,1,399,7501,6,C,602,    ,1,1, , 
1,417,1001,3,1,417,1002,1,1,417,1001,3,1,417,7501,6,C,1994,    ,2,2, , 
1,436,1001,3,1,436,1002,1,1,436,1001,3,1,436,7501,6,C,2235,    ,1,1, , 
1,441,1002,1,1,441,1002,1,1,441,1002,1,1,441,7501,6,C,292,    ,2,2, , 
1,446,1001,2,1,446,1002,0,1,446,1001,2,1,446,7501,5,C,695,    ,1,1, , 
1,447,1001,0,1,447,1002,8,1,447,1001,0,1,447,7501,3,C,777,    ,2,3, , 
1,462,1001,9,1,462,1002,7,1,462,1001,9,1,462,7501,2,C,901,    ,1,2, , 
1,466,1001,0,1,466,1002,8,1,466,1001,0,1,466,7501,3,C,1804,    ,2,2, , 
1,467,1001,8,1,467,1002,6,1,467,1001,8,1,467,7501,1,C,47,    ,1,1, , 
1,472,1001,8,1,472,1002,6,1,472,1001,8,1,472,7501,1,C,586,    ,4,4, , 
1,474,1001,4,1,474,1002,2,1,474,1001,4,1,474,7501,7,C,316,    ,1,1, , 
1,481,1001,9,1,481,1002,7,1,481,1001,9,1,481,7501,2,C,425,    ,2,2, , 
1,506,1001,3,1,506,1002,1,1,506,1001,3,1,506,7501,6,C,1696,    ,3,3, , 
1,512,1001,1,1,512,1002,9,1,512,1001,1,1,512,7501,4,C,75,    ,2,2, , 
1,514,1001,7,1,514,1002,5,1,514,1001,7,1,514,7504,4,C,1086,    ,1,1, , 
